title,source_title,year,doi,total_citations_wos_core
World Human Development: 1870-2007,REVIEW OF INCOME AND WEALTH,2015,10.1111/roiw.12104,57
The Demographic Transition and the Sexual Division of Labor,JOURNAL OF POLITICAL ECONOMY,2008,10.1086/596102,32
Pricing Life Contingencies Linked to Impaired Life Expectancies Using Intuitionistic Fuzzy Parameters,RISKS,2024,10.3390/risks12020029,2
Values and Costs in History: A Case Study on Estimating the Cost of Hadrianic Aqueduct's Construction,WORLD,2022,10.3390/world3020014,7
The largest insurance program in history: Saving one million lives per year in China,JOURNAL OF PUBLIC ECONOMICS,2023,10.1016/j.jpubeco.2023.104999,10
The Effectiveness of Health Expenditure on the Proximate and Ultimate Goals of Healthcare in Sub-Saharan Africa,WORLD DEVELOPMENT,2015,10.1016/j.worlddev.2015.07.010,39
Willingness to pay to reduce mortality risks: Evidence from a three-country contingent valuation study,ENVIRONMENTAL & RESOURCE ECONOMICS,2006,10.1007/s10640-005-3106-2,68
On the value of changes in life expectancy: Blips versus parametric changes,JOURNAL OF RISK AND UNCERTAINTY,1997,10.1023/A:1007705309543,63
Channels through Which Human Capital Inequality Influences Economic Growth,JOURNAL OF HUMAN CAPITAL,2010,10.1086/659338,13
"EXTREME WEATHER EVENTS, MORTALITY, AND MIGRATION",REVIEW OF ECONOMICS AND STATISTICS,2009,10.1162/rest.91.4.659,221
A Panel Data Approach to the Measurement of Health Technical Efficiency of Sub-Saharan Africa,ZAGREB INTERNATIONAL REVIEW OF ECONOMICS & BUSINESS,2015,10.1515/zireb-2015-0001,1
Comparing Individual and Area-Based Socioeconomic Measures for Monitoring Social Health Inequalities in Tunisia,JOURNAL OF THE KNOWLEDGE ECONOMY,2018,10.1007/s13132-016-0416-2,4
Quality-Adjusted Life Expectancy Norms for the English Population,VALUE IN HEALTH,2023,10.1016/j.jval.2022.07.005,34
A Semiparametric Method for Assessing Life Expectancy Evaluations,NORTH AMERICAN ACTUARIAL JOURNAL,2021,10.1080/10920277.2020.1768409,1
The influence of health on economic growth from the perspective of sustainable development: a case of OECD countries,WORLD JOURNAL OF ENTREPRENEURSHIP MANAGEMENT AND SUSTAINABLE DEVELOPMENT,2020,10.1108/WJEMSD-09-2019-0071,13
Incorporating Longevity Risk and Medical Information Into Life Settlement Pricing,JOURNAL OF RISK AND INSURANCE,2013,10.1111/j.1539-6975.2013.01522.x,20
Socioeconomic development and secular trend in height in China,ECONOMICS & HUMAN BIOLOGY,2015,10.1016/j.ehb.2015.09.006,28
A conductive effect of aid volatility on health poverty in aid-recipient countries,SOUTH AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT SCIENCES,2024,10.4102/sajems.v27i1.5183,0
More than 100 years of improvements in living standards: the case of Colombia,CLIOMETRICA,2019,10.1007/s11698-018-0181-5,20
Estimating the health production function for Pakistan: Do environmental factors matter?,REVIEW OF DEVELOPMENT ECONOMICS,2024,10.1111/rode.13048,3
From pain patient to junkie: An economic theory of painkiller consumption and its impact on wellbeing and longevity,JOURNAL OF HEALTH ECONOMICS,2021,10.1016/j.jhealeco.2021.102432,4
Environmental sustainability and health outcomes: Do ICT diffusion and technological innovation matter?,INTERNATIONAL REVIEW OF ECONOMICS & FINANCE,2024,10.1016/j.iref.2023.09.007,15
Optimal longevity risk transfer under asymmetric information,ECONOMIC MODELLING,2023,10.1016/j.econmod.2022.106179,5
Simulating Lifetime Outcomes Associated with Complications for People with Type 1 Diabetes,PHARMACOECONOMICS,2013,10.1007/s40273-013-0047-4,10
"Unexpected longevity, intergenerational policies, and fertility",JOURNAL OF POPULATION ECONOMICS,2023,10.1007/s00148-023-00943-3,0
Does higher financial inclusion lead to better health outcomes? Evidence from developing and transitional economies,ECONOMICS OF TRANSITION AND INSTITUTIONAL CHANGE,2023,10.1111/ecot.12341,10
External Debt Distress in South Asia: Evidence from Panel Data Analysis,SOUTH ASIAN JOURNAL OF MACROECONOMICS AND PUBLIC FINANCE,2020,10.1177/2277978720966485,4
Biological Measures of Economic History,"ANNUAL REVIEW OF ECONOMICS, VOL 5",2013,10.1146/annurev-economics-080511-110912,17
How beneficent is the market? A look at the modern history of mortality,EUROPEAN REVIEW OF ECONOMIC HISTORY,1999,10.1017/S1361491699000131,112
Contribution of health workforce to health outcomes: empirical evidence from Vietnam,HUMAN RESOURCES FOR HEALTH,2016,10.1186/s12960-016-0165-0,21
Costs and Effects of Secondary Prevention with Perindopril in Stable Coronary Heart Disease in Poland An Analysis of the EUROPA Study Including 1251 Polish Patients,PHARMACOECONOMICS,2008,10.2165/00019053-200826100-00006,4
"Green transformation in China: Structures of endowment, investment, and employment",STRUCTURAL CHANGE AND ECONOMIC DYNAMICS,2020,10.1016/j.strueco.2020.04.005,24
"Population aging, the costs of health care for the elderly and growth",JOURNAL OF MACROECONOMICS,2005,10.1016/j.jmacro.2004.02.008,30
THE EFFECTS OF ECONOMIC VARIABLES ON HEALTH EXPENDITURE PER CAPITA AND LIFE EXPECTANCY AT BIRTH: PANEL DATA ANALYSIS FOR MIDDLE TOP INCOME COUNTRIES,JOURNAL OF MEHMET AKIF ERSOY UNIVERSITY ECONOMICS AND ADMINISTRATIVE,2021,10.30798/makuiibf.909994,3
FDI inflows and poverty reduction in Botswana: an empirical investigation,COGENT ECONOMICS & FINANCE,2018,10.1080/23322039.2018.1480302,18
"MORTALITY DECLINE, RETIREMENT AGE, AND AGGREGATE SAVINGS",MACROECONOMIC DYNAMICS,2016,10.1017/S136510051400056X,6
Dynamic allocation of kidneys to candidates on the transplant waiting list,OPERATIONS RESEARCH,2000,10.1287/opre.48.4.549.12418,105
"IN SEARCH OF GROWTH IN MEXICO, WHAT ABOUT SOCIAL CONVERGENCE?",PROBLEMAS DEL DESARROLLO,2023,10.22201/iiec.20078951e.2023.212.69912,0
Fairness of Public Pensions and Old-Age Poverty,FINANZARCHIV,2009,10.1628/001522109X477813,13
Cost-Effectiveness of Clopidogrel plus Aspirin versus Aspirin Alone for Secondary Prevention of Cardiovascular Events: Results from the CHARISMA Trial,VALUE IN HEALTH,2009,10.1111/j.1524-4733.2009.00529.x,27
Does economic growth cause energy intensity of well-being in the very long run? Semi-parametric evidence for selected OECD countries,ENERGY ECONOMICS,2024,10.1016/j.eneco.2024.107889,0
"Dynamics of Human Fertility, Environmental Pollution, and Socio-Economic Factors in Aral Sea Basin",ECONOMIES,2024,10.3390/economies12100272,0
Gender Disparity Index in European Former Communist States: Assessing the Influence of EU Membership,ADMINISTRATIVE SCIENCES,2024,10.3390/admsci14040073,1
"MAKING SOCIAL TRADE-OFFS AMONG LIVES, DISABILITIES, AND COST",JOURNAL OF RISK AND UNCERTAINTY,1994,10.1007/BF01064182,2
Eliciting Preferences to Inform Patient-Centred Policies: the Case of Psoriasis,PHARMACOECONOMICS,2014,10.1007/s40273-013-0126-6,31
On simulation-based approaches to risk measurement in mortality with specific reference to Poisson Lee-Carter modelling,INSURANCE MATHEMATICS & ECONOMICS,2008,10.1016/j.insmatheco.2007.08.009,60
Increasing the Public Pension Age: Employers' Concerns and Policy Preferences,WORK AGING AND RETIREMENT,2019,10.1093/workar/waz004,12
"Risk taking, behavioral biases and genes: Results from 149 active investors",JOURNAL OF BEHAVIORAL AND EXPERIMENTAL FINANCE,2015,10.1016/j.jbef.2015.04.002,21
"Total-employed longevity gap, pension fairness and public finance: Evidence from one of the oldest regions in EU",SOCIO-ECONOMIC PLANNING SCIENCES,2022,10.1016/j.seps.2021.101221,2
The natural resource curse and economic transition,ECONOMIC SYSTEMS,2011,10.1016/j.ecosys.2010.10.003,57
Life expectancy and the value of early detection,JOURNAL OF HEALTH ECONOMICS,2005,10.1016/j.jhealeco.2005.03.002,29
A Model-Based Estimate of the Cost-Effectiveness Threshold in Germany,APPLIED HEALTH ECONOMICS AND HEALTH POLICY,2023,10.1007/s40258-023-00803-x,5
Combining remaining life expectancy and time to death as a measure of old-age dependency related to health care needs,INTERNATIONAL JOURNAL OF HEALTH ECONOMICS AND MANAGEMENT,2023,10.1007/s10754-022-09328-7,1
Cost effectiveness of breast cancer screening and prevention: a systematic review with a focus on risk-adapted strategies,EUROPEAN JOURNAL OF HEALTH ECONOMICS,2021,10.1007/s10198-021-01338-5,17
Long-Term Cost-Effectiveness of Pioglitazone versus Placebo in Addition to Existing Diabetes Treatment: A US Analysis Based on PROactive,VALUE IN HEALTH,2009,10.1111/j.1524-4733.2008.00403.x,10
Does decrease in copying cost support copyright term extension?,INFORMATION ECONOMICS AND POLICY,2005,10.1016/j.infoecopol.2005.02.004,2
Health care expenditures and longevity: is there a Eubie Blake effect?,EUROPEAN JOURNAL OF HEALTH ECONOMICS,2015,10.1007/s10198-014-0564-x,37
Cost effectiveness of combination therapy with pioglitazone for type 2 diabetes mellitus from a German statutory healthcare perspective,PHARMACOECONOMICS,2004,10.2165/00019053-200422050-00006,20
"The effect of new cancer drug approvals on the life expectancy of American cancer patients, 1978-2004",ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,2009,10.1080/10438590802547142,24
"Health economic implications of irbesartan treatment versus standard blood pressure control in patients with type 2 diabetes, hypertension and renal disease: a Hungarian analysis",EUROPEAN JOURNAL OF HEALTH ECONOMICS,2007,10.1007/s10198-006-0033-2,8
Macroeconomic Impacts of the Expansion of Social Services for Ageing Population of the Czech Republic,POLITICKA EKONOMIE,2018,10.18267/j.polek.1186,11
"Mortality risk, perception, and human capital investments: The legacy of landmines in Cambodia",LABOUR ECONOMICS,2022,10.1016/j.labeco.2022.102234,1
Ageing and health care expenditure in EU-15,EUROPEAN JOURNAL OF HEALTH ECONOMICS,2011,10.1007/s10198-010-0260-4,34
Cause-of-death mortality: What can be learned from population dynamics?,INSURANCE MATHEMATICS & ECONOMICS,2018,10.1016/j.insmatheco.2017.09.015,18
Coherent modeling of male and female mortality using Lee-Carter in a complex number framework,INSURANCE MATHEMATICS & ECONOMICS,2016,10.1016/j.insmatheco.2016.08.003,8
A quantitative comparison of simulation strategies for mortality projection,ANNALS OF ACTUARIAL SCIENCE,2014,10.1017/S1748499514000153,32
Government health spending and growth in a model of endogenous longevity,ECONOMICS LETTERS,2006,10.1016/j.econlet.2005.08.003,32
Estimation of Life Expectancy and the Expected Years of Life Lost in Patients with Major Cancers: Extrapolation of Survival Curves under High-Censored Rates,VALUE IN HEALTH,2008,10.1111/j.1524-4733.2008.00350.x,62
Pension Age Increase: Pro et Contra,ZHURNAL NOVAYA EKONOMICHESKAYA ASSOTSIATSIYA-JOURNAL OF THE NEW ECONOMIC,2010,,4
Health and economic growth: new evidence from a panel threshold model,COGENT ECONOMICS & FINANCE,2024,10.1080/23322039.2024.2331010,0
"Contribution of Pharmaceutical Innovation to Longevity Growth in Germany and France, 2001-7",PHARMACOECONOMICS,2012,10.2165/11587150-000000000-00000,21
Working Conditions and Mortality Risks Among Those Over the Age of 65: Findings From Germany,WORK AGING AND RETIREMENT,2022,10.1093/workar/waab013,2
"Funding health in developing countries: foreign aid, FDI, or personal remittances?",INTERNATIONAL JOURNAL OF SOCIAL ECONOMICS,2021,10.1108/IJSE-02-2021-0130,4
The case for life expectancy at age 60 as a prominent health indicator. A comparative analysis,NATIONAL ACCOUNTING REVIEW,2022,10.3934/NAR.2022022,1
"Climate, diseases, and the origins of corruption",ECONOMICS OF TRANSITION AND INSTITUTIONAL CHANGE,2021,10.1111/ecot.12293,6
Augmented human development in the age of globalization<SUP>†</SUP>,ECONOMIC HISTORY REVIEW,2021,10.1111/ehr.13064,15
REGIONAL DISPARITIES OF HUMAN DEVELOPMENT IN MOROCCO,REGION ET DEVELOPPEMENT,2013,,0
Environmental quality and health outcomes in sub-Saharan Africa- A panel econometric approach on the role of forest investment,COGENT ECONOMICS & FINANCE,2023,10.1080/23322039.2023.2269806,1
Passive modernization? The new human development index and its components in Italy's regions (1871-2007),EUROPEAN REVIEW OF ECONOMIC HISTORY,2015,10.1093/ereh/heu018,61
Pricing Longevity Bonds under a Credibility Framework with Limited Available Data,RISKS,2022,10.3390/risks10050096,0
Growth and distribution of Socio-Demographic and Economic Variables in India using Time Series Trend Models,INTERNATIONAL JOURNAL OF ECOLOGICAL ECONOMICS & STATISTICS,2022,,0
Mortality transition in the interwar Baltic states: findings from cross-country comparison of new life tables,SCANDINAVIAN ECONOMIC HISTORY REVIEW,2024,10.1080/03585522.2022.2106301,1
"Does demographic dividend yield economic dividend? India, a case study",ECONOMICS BULLETIN,2015,,2
"Gender Gaps in Wages and Mortality Rates During Industrialization: The Case of Alcoy, Spain, 1860-1914",FEMINIST ECONOMICS,2022,10.1080/13545701.2021.1983190,9
"Mortality, interest rates, investment, and agricultural production in 18th century England",EXPLORATIONS IN ECONOMIC HISTORY,2004,10.1016/j.eeh.2003.09.001,15
Impacts of health on economic growth: evidence from structural equation modelling,ASIA-PACIFIC JOURNAL OF REGIONAL SCIENCE,2021,10.1007/s41685-020-00182-4,6
COLLECTIVE ANNUITIES AND REDISTRIBUTION,JOURNAL OF PUBLIC ECONOMIC THEORY,2010,10.1111/j.1467-9779.2009.01445.x,18
XX &gt; XY?: The changing female advantage in life expectancy,JOURNAL OF HEALTH ECONOMICS,2019,10.1016/j.jhealeco.2019.102224,25
"A Generic Model for Follicular Lymphoma: Predicting Cost, Life Expectancy, and Quality-Adjusted-Life-Year Using UK Population-Based Observational Data",VALUE IN HEALTH,2018,10.1016/j.jval.2018.03.007,13
Asking for frequencies rather than percentages increases the validity of subjective probability measures: Evidence from subjective life expectancy,ECONOMICS LETTERS,2019,10.1016/j.econlet.2019.04.001,4
SURVIVING CREDIT MARKET COMPETITION,ECONOMIC INQUIRY,2014,10.1111/ecin.12033,5
"Uncertain lifetime, fertility and social security",JOURNAL OF POPULATION ECONOMICS,2001,10.1007/s001480000049,52
Do electoral institutions have an impact on population health?,PUBLIC CHOICE,2011,10.1007/s11127-010-9686-6,30
"Longevity, Fertility and Economic Growth: Do Environmental Factors Matter?",REVIEW OF DEVELOPMENT ECONOMICS,2017,10.1111/rode.12239,4
Aging faster in office? the effect of extended service in political office on longevity,APPLIED ECONOMICS LETTERS,2016,10.1080/13504851.2015.1083936,3
Cost-effectiveness of pembrolizumab in combination with chemotherapy in the 1st line treatment of non-squamous NSCLC in the US,JOURNAL OF MEDICAL ECONOMICS,2018,10.1080/13696998.2018.1521416,75
On the impact of low interest rates on common withdrawal rules in old age,EUROPEAN JOURNAL OF FINANCE,2023,10.1080/1351847X.2022.2097886,2
Death and taxes: their implications for endogenous growth,ECONOMICS LETTERS,1999,10.1016/S0165-1765(98)00250-X,22
Life Expectancy and Lifetime Health Care Expenditures for Type 1 Diabetes: A Nationwide Longitudinal Cohort of Incident Cases Followed for 14 Years,VALUE IN HEALTH,2016,10.1016/j.jval.2016.05.017,17
The economics of longevity-An introduction,JOURNAL OF THE ECONOMICS OF AGEING,2023,10.1016/j.jeoa.2022.100439,8
Gross national happiness as an answer to the Easterlin Paradox?,JOURNAL OF DEVELOPMENT ECONOMICS,2008,10.1016/j.jdeveco.2007.06.008,200
The future of the elderly population health status: Filling a knowledge gap,HEALTH ECONOMICS,2021,10.1002/hec.4258,19
EFFECTS OF INEQUALITIES IN ACCESS TO HEALTH SERVICES IN RURAL AREAS IN POLAND,MANAGEMENT THEORY AND STUDIES FOR RURAL BUSINESS AND INFRASTRUCTURE,2013,,6
"State of the ""life span revolution"" between 1980 and 2000",JOURNAL OF DEVELOPMENT ECONOMICS,2006,10.1016/j.jdeveco.2005.02.003,14
FDI AND POVERTY REDUCTION IN BOTSWANA: A MULTIVARIATE CAUSALITY TEST,ECONOMICS & SOCIOLOGY,2019,10.14254/2071-789X.2019/12-3/4,3
Reevaluating the Evidence for Intensive Postoperative Extracolonic Surveillance for Nonmetastatic Colorectal Cancer,VALUE IN HEALTH,2022,10.1016/j.jval.2021.07.017,0
On the fiscal strategies of escaping poverty-environment traps towards sustainable growth,JOURNAL OF MACROECONOMICS,2018,10.1016/j.jmacro.2017.10.007,16
HBeAg-negative chronic hepatitis B: Cost-effectiveness of peginterferon alfa-2a compared to lamivudine in Taiwan,VALUE IN HEALTH,2008,10.1111/j.1524-4733.2007.00221.x,15
"Finite horizons, human wealth, and the risk-free rate puzzle",ECONOMICS LETTERS,2004,10.1016/j.econlet.2004.04.014,1
An Optimistic Perspective on Population Ageing and Old-Age Financial Protection,MALAYSIAN JOURNAL OF ECONOMIC STUDIES,2013,,4
Coherent Pricing of Life Settlements Under Asymmetric Information,JOURNAL OF RISK AND INSURANCE,2013,10.1111/j.1539-6975.2013.12010.x,15
Evaluating the potential 'economic attractiveness' of new therapies in patients with non-ST elevation acute coronary syndrome,PHARMACOECONOMICS,2000,10.2165/00019053-200017030-00004,8
Potential Gains in Health-Adjusted Life Expectancy by Reducing Burden of Noncommunicable Diseases in 188 Countries: A Population-Based Study,VALUE IN HEALTH,2023,10.1016/j.jval.2022.12.008,4
The Jewish Advantage and Household Security: Life Expectancy among 19th Century Sephardim of Gibraltar,ECONOMICS & HUMAN BIOLOGY,2013,10.1016/j.ehb.2012.02.006,7
A Trend-Change Extension of the Cairns-Blake-Dowd Model,ANNALS OF ACTUARIAL SCIENCE,2011,10.1017/S1748499511000017,33
Estimating a health production function for the US: some new evidence,APPLIED ECONOMICS,2002,10.1080/00036840010025650,77
Snuff the puff: international evidence on the determinants of anti-smoking laws,APPLIED ECONOMICS LETTERS,2009,10.1080/13504850701537690,3
Determinants of Life Insurance Consumption in OECD Countries Using FMOLS and DOLS Techniques,RISKS,2024,10.3390/risks12020035,1
The diffusion of health technologies: Cultural and biological divergence,EUROPEAN ECONOMIC REVIEW,2013,10.1016/j.euroecorev.2013.08.001,7
Does Institutional Quality Enhance the Effect of Health Outcomes on Economic Growth? Insights from Sub-Saharan African Countries,ECONOMIES,2024,10.3390/economies12110308,0
How do subjective mortality beliefs affect the value of social security and the optimal claiming ages?,INTERNATIONAL STUDIES OF ECONOMICS,2024,10.1002/ise3.69,0
Measuring Human Development in the MENA Region,EMERGING MARKETS FINANCE AND TRADE,2015,10.1080/1540496X.2015.1080517,16
INEQUALITY OF INCOMES AND LIFE-SPANS IN ENGLAND SINCE 1688,ECONOMIC HISTORY REVIEW,1994,,9
A Multigene Test Could Cost-Effectively Help Extend Life Expectancy for Women at Risk of Hereditary Breast Cancer,VALUE IN HEALTH,2017,10.1016/j.jval.2017.01.006,37
Cost-effectiveness of pembrolizumab plus chemotherapy versus chemotherapy and pembrolizumab monotherapy in first line treatment of NSCLC in the US - updated analyses with additional trial follow-up,JOURNAL OF MEDICAL ECONOMICS,2021,10.1080/13696998.2021.1937188,5
The effects of competition outcomes on health: Evidence from the lifespans of US Olympic medalists,ECONOMICS & HUMAN BIOLOGY,2018,10.1016/j.ehb.2018.10.001,8
An automatic-democratic approach to weight setting for the new human development index,JOURNAL OF POPULATION ECONOMICS,2013,10.1007/s00148-012-0432-x,42
Mortality Forecasting Using Neural Networks and an Application to Cause-Specific Data for Insurance Purposes,JOURNAL OF FORECASTING,2009,10.1002/for.1111,6
The mortality risk of being overweight in the twentieth century: Evidence from two cohorts of New Zealand men,EXPLORATIONS IN ECONOMIC HISTORY,2022,10.1016/j.eeh.2022.101472,1
Killing off cohorts: Forecasting mortality of non-extinct cohorts with the penalized composite link model,INTERNATIONAL JOURNAL OF FORECASTING,2021,10.1016/j.ijforecast.2020.03.003,7
Determinants of employees provident fund in Malaysia: Potential factors to jeopardize the EPF sustainability,BUSINESS AND ECONOMIC HORIZONS,2018,10.15208/beh.2018.3,1
"EMPIRICAL ANALYSIS OF RENEWABLE ENERGY CONSUMPTION, ENVIRONMENTAL POLLUTION AND OFFICIAL DEVELOPMENT ASSISTANCE IMPACT ON HUMAN DEVELOPMENT: EVIDENCE FROM OECD COUNTRIES",INTERNATIONAL JOURNAL OF ECONOMICS MANAGEMENT AND ACCOUNTING,2022,,1
Does health quality affect tourism? Evidence from system GMM estimates,ECONOMIC ANALYSIS AND POLICY,2022,10.1016/j.eap.2021.12.007,40
The effects of longevity and distortions on education and retirement,REVIEW OF ECONOMIC DYNAMICS,2007,10.1016/j.red.2007.01.003,17
Characterizing Heterogeneity Bias in Cohort-Based Models,PHARMACOECONOMICS,2015,10.1007/s40273-015-0273-z,5
An Empirical Study of the Effects of Demographic Factors on Economic Growth in Advanced and Developing Countries,COMPARATIVE ECONOMIC RESEARCH-CENTRAL AND EASTERN EUROPE,2020,10.18778/1508-2008.23.27,6
Demographic changes and the housing market,REGIONAL SCIENCE AND URBAN ECONOMICS,2022,10.1016/j.regsciurbeco.2021.103734,8
"Backcasting Mortality in England and Wales, 1600-1840",NORTH AMERICAN ACTUARIAL JOURNAL,2022,10.1080/10920277.2020.1853574,1
INEQUALITY BEYOND GDP: A LONG VIEW,REVIEW OF INCOME AND WEALTH,2023,10.1111/roiw.12593,0
The value of medical and pharmaceutical interventions for reducing obesity,JOURNAL OF HEALTH ECONOMICS,2012,10.1016/j.jhealeco.2012.04.006,21
Assessing mortality inequality in the US: What can be said about the future?,INSURANCE MATHEMATICS & ECONOMICS,2021,10.1016/j.insmatheco.2021.03.014,7
Cultural tourism and sustainable developement,ROMANIAN JOURNAL OF ECONOMIC FORECASTING,2007,,4
Extrapolating the Value Per Statistical Life Between Populations: Theoretical Implications,JOURNAL OF BENEFIT-COST ANALYSIS,2017,10.1017/bca.2017.13,20
Immigration and PAYG pension systems in the presence of increasing life expectancy,ECONOMICS LETTERS,2018,10.1016/j.econlet.2017.10.024,2
